Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount,Call currency,Put amount,Put currency,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type,Unique Product Identifier,UPI FISN,UPI Underlier Name
"1502050796","1499928273","TERM","ETRM","2025-05-05T08:53:26Z","","EQ","","N","","2025-05-02T16:51:53Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","21.5","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","JDEP.AS","","RIC","","","","OPET","","","false","","","","","","","","","QZR4QRQC44SV","NA/Swaps Sgle Stk Tot Rtn","JDE Peet's N.V."
"1502050797","1502050760","MODI","TRAD","2025-05-05T08:53:26Z","true","EQ","","N","","2025-05-05T08:49:43Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","19,000","","EUR","","","","595","","","","SHAS","","","","","","","","","","","","","","","","","","","","","31.7888543","ACCY","0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","VIE.PA","","RIC","","","","OPET","","","false","","","","","","","","","QZ77CB9J23R1","NA/Swaps Sgle Stk Tot Rtn","ORD."
"1502050798","1499946952","TERM","ETRM","2025-05-05T08:53:51Z","","EQ","","N","","2025-05-02T16:52:03Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","0.3925","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","POXEL.PA","","RIC","","","","OPET","","","false","","","","","","","","","QZ2BWSXQCZMN","NA/Swaps Sgle Stk Tot Rtn","No name obtainable"
"1502050799","1499919918","TERM","ETRM","2025-05-05T08:53:26Z","","EQ","","N","","2025-05-02T16:44:20Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","56.92249","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","KWSG.DE","","RIC","","","","OPET","","","false","","","","","","","","","QZ5ZMJB87BMS","NA/Swaps Sgle Stk Tot Rtn","KWS SAAT SE & Co. KGaAInhaber-Aktien o.N."
"1502050800","1499934443","MODI","TRAD","2025-05-05T08:53:14Z","true","EQ","","N","","2025-05-02T16:49:18Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","3,200","","EUR","","","","190","","","","SHAS","","","","","","","","","","","","","","","","","","","","","16.7540089","ACCY","-0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","PUIGb.MC","","RIC","","","","OPET","","","false","","","","","","","","","QZ1S0D28MB7Q","NA/Swaps Sgle Stk Tot Rtn","PUIG BRANDS, S.A., CLASE B ACCIONES"
"1502050801","1500000149","MODI","TRAD","2025-05-05T08:53:40Z","true","EQ","","N","","2025-05-02T18:48:15Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","12,000","","EUR","","","","1,500","","","","SHAS","","","","","","","","","","","","","","","","","","","","","7.7733055","ACCY","0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","TTKG.DE","","RIC","","","","OPET","","","false","","","","","","","","","QZG30FVJWPSG","NA/Swaps Sgle Stk Tot Rtn","TAKKT AGInhaber-Aktien o.N."
"1502050802","1499929083","TERM","ETRM","2025-05-05T08:53:26Z","","EQ","","N","","2025-05-02T16:47:22Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","16.49","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","VLLP.PA","","RIC","","","","OPET","","","false","","","","","","","","","QZH3N8ZQBXFK","NA/Swaps Sgle Stk Tot Rtn","ORD.REGROUPE"
"1502050803","","NEWT","TRAD","2025-05-05T08:53:00Z","","EQ","","N","","2025-05-05T08:49:32Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","31,000","","EUR","","","","9,900","","","","SHAS","","","","","","","","","","","","","","","","","","","","","3.1313146","ACCY","0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","CECG.DE","","RIC","","","","OPET","","","false","","","","","","","","","QZNC5BXSN55K","NA/Swaps Sgle Stk Tot Rtn","CECONOMY AGInhaber-Aktien o.N."
"1502050804","1499921199","TERM","ETRM","2025-05-05T08:52:22Z","","EQ","","N","","2025-05-02T16:44:39Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","5","","EUR","","","","5","","","","SHAS","","","","","","","","","","","","","","","","","","","","","121.66237","ACCY","0","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","NEKG.DE","","RIC","","","","OPET","","","false","","","","","","","","","QZ5P17LJ96TN","NA/Swaps Sgle Stk Tot Rtn","Nemetschek SEInhaber-Aktien o.N."
"1502050805","","NEWT","TRAD","2025-05-05T08:53:09Z","","EQ","","N","","2025-05-05T08:49:35Z","2025-05-06","2026-11-18","","FALSE","BILT","","","","825","","EUR","","","","20","","","","SHAS","","","","","","","","","","","","","","","","","","","","","41.25","ACCY","0.003","","","","","","false","EUR","1","3","","","","","A004","","MNTH","","1","","","","MNTH","","","","1","","","","","EUR","","","","false","","UN0k.DE","","RIC","","","","OPET","","","false","","","","","","","","","QZM1SJK4HXP6","NA/Swaps Sgle Stk Tot Rtn","Uniper SEkonv.Namens-Aktien o.N."
